TEM_CODE,TEM_DATE_TIME,TEM_ACS_TRX_ID,TEM_DS_TRX_ID,TEM_ERRR_CMPN,TEM_ERRR_CODE,TEM_ERRR_DSCR,TEM_ERRR_DTLS,TEM_ERRR_MSSG_TYPE,TEM_MSSG_VRSN_NMBR,TEM_SDK_TRX_ID,TEM_TDS_SRVR_TRX_ID,TEM_3ST_CODE,TEM_CRT_CODE,ROWID
"16,482",2020-10-06 16:30:09.082,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,cbeb147e-07e8-11eb-8c71-3d2cb795139b,,,AAAW1bAAFAABcozAAE
"16,483",2020-10-06 16:30:09.328,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,cbea2a1c-07e8-11eb-8c71-bb354024d069,,,AAAW1bAAFAABcozAAF
"16,484",2020-10-06 16:30:09.748,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,cbe8f196-07e8-11eb-8c71-01104431a3f3,,,AAAW1bAAFAABcozAAG
"16,485",2020-10-06 16:30:09.866,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,cbeaed6d-07e8-11eb-8c71-3ba94b87ea45,,,AAAW1bAAFAABcozAAH
"16,486",2020-10-06 16:30:10.327,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,cbe7b915-07e8-11eb-8c71-bd2b7926ed38,,,AAAW1bAAFAABcozAAI
"16,488",2020-10-06 16:30:11.013,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,cbf43b49-07e8-11eb-8c71-994d21deb9f7,,,AAAW1bAAFAABcozAAJ
"2,480",2020-06-07 21:18:49.442,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,15c4df79-a8fc-11ea-9f83-1993bb6d3e3b,,,AAAW1bAAFAABcozAAK
"2,484",2020-06-07 21:21:51.027,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,7e8dd30a-a8fc-11ea-9f83-edefb946ac18,,,AAAW1bAAFAABcozAAL
"2,506",2020-06-07 21:24:44.337,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,ddd993a0-a8fc-11ea-9f83-0fa722e0f9c0,,,AAAW1bAAFAABcozAAM
"2,508",2020-06-07 21:24:44.449,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,dddb1a42-a8fc-11ea-9f83-b7af37a4e723,,,AAAW1bAAFAABcozAAN
"2,509",2020-06-07 21:24:44.593,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,ddda56f1-a8fc-11ea-9f83-eb0334afcbc9,,,AAAW1bAAFAABcozAAO
"2,513",2020-06-07 21:24:44.494,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,dddcef05-a8fc-11ea-9f83-430f1fb6eff0,,,AAAW1bAAFAABcozAAP
"2,514",2020-06-07 21:24:44.621,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,ddcb14a6-a8fc-11ea-9f83-5f074b1e394e,,,AAAW1bAAFAABcozAAQ
"2,512",2020-06-07 21:24:44.621,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,df6cb6cc-a8fc-11ea-9f83-45436e28a83a,,,AAAW1bAAFAABcozAAR
"2,515",2020-06-07 21:24:44.998,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,dddbb683-a8fc-11ea-9f83-69fee487831c,,,AAAW1bAAFAABcozAAS
"2,518",2020-06-07 21:24:46.822,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,ea7320f0-a8fc-11ea-9f83-9385b6609eac,,,AAAW1bAAFAABcozAAT
"2,521",2020-06-07 21:24:46.878,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,ea5f4ac8-a8fc-11ea-9f83-e51f2e39ebb6,,,AAAW1bAAFAABcozAAU
"2,523",2020-06-07 21:24:46.926,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,eac22b56-a8fc-11ea-9f83-f7a5681bcf13,,,AAAW1bAAFAABcozAAV
"2,524",2020-06-07 21:24:46.922,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,ea61469b-a8fc-11ea-9f83-8ff7c1145537,,,AAAW1bAAFAABcozAAW
"2,527",2020-06-07 21:24:46.925,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,ea60834a-a8fc-11ea-9f83-851e784fbf6c,,,AAAW1bAAFAABcozAAX
"2,529",2020-06-07 21:24:43.259,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,de3ce958-a8fc-11ea-9f83-551a88999844,,,AAAW1bAAFAABcozAAY
"2,531",2020-06-07 21:24:47.542,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,eaade003-a8fc-11ea-9f83-356105266c7d,,,AAAW1bAAFAABcozAAZ
"2,533",2020-06-07 21:24:48.093,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,ea5fe709-a8fc-11ea-9f83-11f46ed24cf9,,,AAAW1bAAFAABcozAAa
"2,534",2020-06-07 21:24:48.276,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,ea5f4ac7-a8fc-11ea-9f83-d7d8dccdfc61,,,AAAW1bAAFAABcozAAb
"2,545",2020-06-07 21:27:56.945,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,5e55926c-a8fd-11ea-9f83-0b21136cb6f0,,,AAAW1bAAFAABcozAAc
"2,547",2020-06-07 21:27:57.311,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,5e562ead-a8fd-11ea-9f83-3313ff7588db,,,AAAW1bAAFAABcozAAd
"2,549",2020-06-07 21:28:01.34,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,6051feb7-a8fd-11ea-9f83-0d761b604b9f,,,AAAW1bAAFAABcozAAe
"2,554",2020-06-07 21:28:07.421,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,64fd8578-a8fd-11ea-9f83-43561387a845,,,AAAW1bAAFAABcozAAf
"2,559",2020-06-07 21:29:47.618,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,a034abb7-a8fd-11ea-9f83-03e8447351c8,,,AAAW1bAAFAABcozAAg
"2,560",2020-06-07 21:29:47.781,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,a03e219f-a8fd-11ea-9f83-1fceb7e69ab2,,,AAAW1bAAFAABcozAAh
"2,561",2020-06-07 21:29:47.799,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,a0393f9b-a8fd-11ea-9f83-034b95e2e5a1,,,AAAW1bAAFAABcozAAi
"2,564",2020-06-07 21:33:07.686,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,0b7afb69-a8fe-11ea-9f83-bb58715a290d,,,AAAW1bAAFAABcozAAj
"2,565",2020-06-07 21:33:07.637,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,0b73cf6f-a8fe-11ea-9f83-f5f0b35e9cdf,,,AAAW1bAAFAABcozAAk
"2,567",2020-06-07 21:33:07.689,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,0b783c45-a8fe-11ea-9f83-a196e0ad8804,,,AAAW1bAAFAABcozAAl
"2,568",2020-06-07 21:33:07.814,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,0c27b62e-a8fe-11ea-9f83-1be3eac203f6,,,AAAW1bAAFAABcozAAm
"2,569",2020-06-07 21:33:07.889,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,0b766783-a8fe-11ea-9f83-9bd9a44588db,,,AAAW1bAAFAABcozAAn
"2,570",2020-06-07 21:33:07.961,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,0b7ef30b-a8fe-11ea-9f83-35e7c177f654,,,AAAW1bAAFAABcozAAo
"2,571",2020-06-07 21:33:08.199,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,0b764072-a8fe-11ea-9f83-d1b3426c031b,,,AAAW1bAAFAABcozAAp
"2,576",2020-06-07 21:33:08.358,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,0b794db6-a8fe-11ea-9f83-f703f30fa0de,,,AAAW1bAAFAABcozAAq
"2,579",2020-06-07 21:33:07.996,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,0b71faad-a8fe-11ea-9f83-8314df672d74,,,AAAW1bAAFAABcozAAr
"2,583",2020-06-07 21:33:08.099,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,0b72bdfe-a8fe-11ea-9f83-1dc160f88d29,,,AAAW1bAAFAABcozAAs
"2,585",2020-06-07 21:37:44.715,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,b11f0122-a8fe-11ea-9f83-e1005834d81d,,,AAAW1bAAFAABcozAAt
"2,586",2020-06-07 21:37:44.948,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,b14e4e8b-a8fe-11ea-9f83-9bf89023bc0f,,,AAAW1bAAFAABcozAAu
"2,587",2020-06-07 21:37:45.096,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,b1811e64-a8fe-11ea-9f83-c7d4906b6c5f,,,AAAW1bAAFAABcozAAv
"2,588",2020-06-07 21:37:45.088,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,b1401db8-a8fe-11ea-9f83-13bd1d71c8cd,,,AAAW1bAAFAABcozAAw
"2,589",2020-06-07 21:37:45.047,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,b1638441-a8fe-11ea-9f83-7f7c293583fc,,,AAAW1bAAFAABcozAAx
"2,590",2020-06-07 21:37:45.141,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,b160ec30-a8fe-11ea-9f83-03dec23f3a98,,,AAAW1bAAFAABcozAAy
"2,592",2020-06-07 21:37:45.15,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,b1499399-a8fe-11ea-9f83-6b55cac2fc55,,,AAAW1bAAFAABcozAAz
"2,591",2020-06-07 21:37:45.058,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,b14d642a-a8fe-11ea-9f83-1d6cf68a43f4,,,AAAW1bAAFAABcozAA0
"2,593",2020-06-07 21:37:45.172,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,b1767002-a8fe-11ea-9f83-6ba13d974b78,,,AAAW1bAAFAABcozAA1
"2,595",2020-06-07 21:37:45.199,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,b13ff6a6-a8fe-11ea-9f83-df0b72dabf7c,,,AAAW1bAAFAABcozAA2
"2,594",2020-06-07 21:37:45.137,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,b150987f-a8fe-11ea-9f83-e5b39a91f716,,,AAAW1bAAFAABcozAA3
"2,598",2020-06-07 21:37:45.054,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,b13918d4-a8fe-11ea-9f83-e762cef1b583,,,AAAW1bAAFAABcozAA4
"2,602",2020-06-07 21:37:46.051,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,b1808223-a8fe-11ea-9f83-6d295f49d05f,,,AAAW1bAAFAABcozAA5
"2,605",2020-06-07 21:39:26.378,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,f39e03d5-a8fe-11ea-9f83-250a798299b3,,,AAAW1bAAFAABcozAA6
"2,447",2020-06-07 21:18:44.577,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,0937862f-a8fc-11ea-9f83-69138aa2fcc8,,,AAAW1bAAFAABco0AAA
"2,448",2020-06-07 21:18:44.983,,,S,101,Message not recognized,Invalid Message Type,ARes,2.1.0,,1345fcb3-a8fc-11ea-9f83-8311cbd9d8a0,,,AAAW1bAAFAABco0AAB
