TSH_CODE,TSH_STAG_DATE,TSH_TRX_STAG,TSH_TST_CODE,TRANSACTION_STAGE_LABEL,ROWID
"4,488",2020-06-16 20:32:19.039,00,"4,425",,AAAW1ZAAFAABcrDABc
"57,287",2020-12-20 22:47:01.152,00,"57,747",,AAAW1ZAAFAABcrEAAA
"57,288",2020-12-20 22:47:17.058,00,"57,748",,AAAW1ZAAFAABcrEAAB
"57,297",2020-12-20 22:49:11.061,00,"57,756",,AAAW1ZAAFAABcrEAAC
"57,299",2020-12-20 22:49:11.615,00,"57,758",,AAAW1ZAAFAABcrEAAD
"57,309",2020-12-20 22:49:14.38,00,"57,769",,AAAW1ZAAFAABcrEAAE
"57,312",2020-12-20 22:49:14.667,00,"57,771",,AAAW1ZAAFAABcrEAAF
"57,317",2020-12-20 22:49:16.447,00,"57,781",,AAAW1ZAAFAABcrEAAG
"57,319",2020-12-20 22:49:15.918,00,"57,782",,AAAW1ZAAFAABcrEAAH
"57,320",2020-12-20 22:49:15.888,00,"57,776",,AAAW1ZAAFAABcrEAAI
"57,322",2020-12-20 22:49:15.708,00,"57,780",,AAAW1ZAAFAABcrEAAJ
"57,324",2020-12-20 22:49:16.862,00,"57,779",,AAAW1ZAAFAABcrEAAK
"57,325",2020-12-20 22:49:15.991,00,"57,778",,AAAW1ZAAFAABcrEAAL
"57,328",2020-12-20 22:49:16.772,00,"57,787",,AAAW1ZAAFAABcrEAAM
"57,329",2020-12-20 22:49:16.943,00,"57,794",,AAAW1ZAAFAABcrEAAN
"57,338",2020-12-20 22:49:17.853,00,"57,797",,AAAW1ZAAFAABcrEAAO
"57,339",2020-12-20 22:49:17.939,00,"57,796",,AAAW1ZAAFAABcrEAAP
"57,347",2020-12-20 22:49:21.774,00,"57,807",,AAAW1ZAAFAABcrEAAQ
"57,351",2020-12-20 22:49:21.839,00,"57,814",,AAAW1ZAAFAABcrEAAR
"57,352",2020-12-20 22:49:21.834,00,"57,811",,AAAW1ZAAFAABcrEAAS
"57,354",2020-12-20 22:49:22.392,00,"57,817",,AAAW1ZAAFAABcrEAAT
"57,361",2020-12-20 22:49:23.2,00,"57,819",,AAAW1ZAAFAABcrEAAU
"57,365",2020-12-20 22:49:23.346,00,"57,821",,AAAW1ZAAFAABcrEAAV
